i,logB,maxloglikelihood,SNR_inj_signal,SNR_comb_global,run_time,duration,width_median,width_plus,width_minus,width_global,amplitude_median,amplitude_plus,amplitude_minus,amplitude_global,phase_median,phase_plus,phase_minus,phase_global,spacing_median,spacing_plus,spacing_minus,spacing_global,fmin_median,fmin_plus,fmin_minus,fmin_global,fmax_median,fmax_plus,fmax_minus,fmax_global,duration_median
22.0,8.07179503946321,28.315031928923737,9.4215580388526,10.439051112006617,7639.828308,8701.17437140776,0.0001247979761286633,1.505461998629472e-05,7.474635293691368e-06,0.00011533332904326083,407.33420127527995,58.16067579499912,58.45094087656685,466.7994189672747,0.2059260200484504,0.2976359762095776,0.1323994721881,0.16475573340607283,0.0011032530982581913,2.8096931317326667e-06,2.8578913074113303e-06,0.0011029514138340812,0.056387060849325606,0.004252552935696541,0.000810679197057157,0.055640387003858635,0.07369997311862565,0.002658260962656825,0.0007714022475949212,0.07393489278633814,8701.17437140776
52.0,9.649681864638866,28.915825743334636,9.11728971056738,10.200432031828598,7797.799694,8701.17437140776,0.0001339279968147907,2.8067761624870025e-05,1.4029550720663189e-05,0.00011555701516894132,383.6551440180101,64.94610240980842,65.61487539946819,494.59662720755034,0.1648517656304938,0.2710993220630405,0.12202075767157078,0.3055214095148938,0.0011036039626122767,1.93212198714484e-06,3.935088178607911e-06,0.0011001253715906783,0.058037183631765,0.00217727379934822,0.0035777470474016165,0.05787454140699999,0.07564564447533777,0.0022645354720139815,0.0024013166970651284,0.0731438524043327,8701.17437140776
42.0,-0.3080177532901411,19.11106921887678,10.832316442479156,9.166504193055557,7840.56986,8701.17437140776,0.00017005619453069656,0.00022130062258951226,4.1909134108473426e-05,0.0001278306170610873,234.91259278382412,78.67033652149112,98.2367033778819,337.02954655344297,0.7172258581883146,0.15903006784951468,0.33883136878181275,0.7570137442962677,0.0011096533671763355,4.423474458683271e-05,0.0002646327190629088,0.001110508150475105,0.05961723662560516,0.007305194704013619,0.0036192828082818457,0.059836152874058274,0.08256954452490319,0.0012222880476493309,0.0029693281421090123,0.0832300020245208,8701.17437140776
94.0,6.7986621549374675,26.916718565084008,9.290938325971238,9.084426873290017,7922.677124,8701.17437140776,0.00012473208051465596,1.56235722190756e-05,7.2022514658089e-06,0.00011616336523451541,412.6514615156273,60.724415938115555,67.52714523292599,441.9026196167402,0.10449520000023478,0.6396315672369193,0.0756269684006346,0.017005260597217027,0.001104811076469972,1.5424045036523549e-06,1.7426365090081504e-06,0.0011056495531897594,0.06007097589127094,0.0006958756719684309,0.001313362941429204,0.05985095443411355,0.0748776297370773,0.001103583121389029,0.0005875112242370722,0.07428116323222285,8701.17437140776
32.0,-0.32231276898378736,18.018684689232362,8.151623054637456,8.370841645761436,7980.609187,8701.17437140776,0.00017170121338109203,0.00017082935987782679,4.3270086652367665e-05,0.00011557914804700238,236.18875108208903,102.73404875343812,116.60151860532957,422.75545159140034,0.75330824017448,0.16453083820205516,0.5832097908214084,0.9346109912289039,0.0011242331097639801,0.0010104041992001593,1.5970001542388312e-05,0.0011242391376354941,0.0532422714158676,0.014809606376809142,0.0072279400744742345,0.06782047682250712,0.08174465393717711,0.0015648094537558666,0.003979565575263411,0.0820361465301602,8701.17437140776
86.0,5.087878270631214,26.050315293766293,9.254693125207467,9.621202379095644,8294.941429,8701.17437140776,0.00013535572733270614,2.988818372688643e-05,1.474636995694439e-05,0.00011835511838787024,381.86497479386213,67.477521536869,66.8859339636657,460.3955912929396,0.2065787377927633,0.14309609999158085,0.11786028064882156,0.1802824384538271,0.0011023972782501406,2.1298666571475423e-06,2.524351329026911e-06,0.0011027363615174327,0.059328194808260286,0.0009043597622475155,0.001500329149152102,0.059672389105962016,0.07490323734376884,0.0017415621665431286,0.001240985731796873,0.07495698282626234,8701.17437140776
26.0,0.3769685545004734,21.049477104850318,9.89406240601733,8.98572671103605,8400.497228,8701.17437140776,0.000157750674625168,0.00011836770739417693,3.1148677385446746e-05,0.0001179090114373687,264.65456891160846,71.94411595747835,92.57357495018167,377.10026811574323,0.4699098474756077,0.2199155345913235,0.29295475540666943,0.40429098126076324,0.0011159979649321033,1.1155495019095265e-05,5.169299296610462e-06,0.0011163561358463934,0.06335508923780546,0.0026042729371693746,0.007417902547701173,0.0642117047629553,0.08355135508091552,0.000655710307005522,0.0043854546654173154,0.08406039894862774,8701.17437140776
70.0,5.741387513948415,25.773547729132524,9.1144033146557,9.496092103736117,8407.927367,8701.17437140776,0.00015795221238022505,8.876210587832584e-05,3.313954309100615e-05,0.00011898239993882882,335.3302703761216,90.24902077703013,115.37587726997558,467.8978329389136,0.5140026324713552,0.20976394728775105,0.12996013354703329,0.7151947965260936,0.001112906097431171,3.1232041264395508e-06,1.4973488901423408e-05,0.0011108642753885163,0.06230461019696927,0.0007394115933608003,0.0025027255127981762,0.062302619852460654,0.07716786122788133,0.0018558973840155785,0.0010186580406078838,0.0772778732918107,8701.17437140776
34.0,13.96302443012926,35.73838272131422,9.4489634193217,10.725441788706865,8557.097864,8701.17437140776,0.00014326999651036973,3.487721639065095e-05,2.0326091119369057e-05,0.0001344418297429846,400.60539844200395,61.418188962846386,59.357292559029304,428.92935908550487,0.39150787791864894,0.12864325028602774,0.1322765463141728,0.433364902532785,0.001116297939824449,2.2430691772397544e-06,2.2186482119131937e-06,0.0011156219030865953,0.06450625317963138,0.0005018456537367322,0.0009746696630342083,0.06440675825446131,0.08317693617319323,0.0006062078393823389,0.0017440556029828663,0.08305556382151263,8701.17437140776
18.0,-1.0472996283549996,17.13036022095119,8.205196254962358,8.631053339046579,8600.690491,8701.17437140776,0.00038805791307662963,0.0006083375744855055,0.00021734040609111985,0.0002564270970770897,114.95130540277785,104.47649365320069,60.11476527575565,218.85077888886764,0.6004062415223493,0.22630721733437276,0.3764531704769144,0.8107610085215707,0.001659213551536589,0.00036472640757164235,0.0007333704951083342,0.0016614823844744145,0.037730586264612356,0.008966716333620346,0.011372876504063052,0.03282545267759611,0.06889723756918903,0.007926506127501565,0.005344559925618428,0.0673664241743753,8701.17437140776
