i,logB,maxloglikelihood,SNR_inj_signal,SNR_comb_global,run_time,duration,width_median,width_plus,width_minus,width_global,amplitude_median,amplitude_plus,amplitude_minus,amplitude_global,phase_median,phase_plus,phase_minus,phase_global,spacing_median,spacing_plus,spacing_minus,spacing_global,fmin_median,fmin_plus,fmin_minus,fmin_global,fmax_median,fmax_plus,fmax_minus,fmax_global,duration_median
32.0,9.978203285928466,33.82280644824901,15.005456214201555,13.250896371302385,8427.873813,130517.61557111642,5.146877131512637e-05,2.0083781096024087e-05,2.2885928186857783e-05,5.4402811682138974e-05,958.496643321239,238.99937719688467,150.71440023629646,1043.1746962301372,0.6302053405504038,0.12209013003523128,0.04892252559849353,0.5737693113253622,0.0010940100252433919,8.769738961396465e-07,2.2113707447300648e-06,0.0010950394534772576,0.06049610936745999,0.0008874807229664813,0.0014409179786349924,0.060866403665413786,0.07357761452805789,0.0021001193762900383,0.001699067177335284,0.07289252684417437,130517.61557111642
68.0,8.58942690966897,32.714261937515744,14.75536153218352,13.150116600171962,8618.447205,130517.61557111642,7.486824893756768e-05,2.8154643202337286e-05,2.3091602840965e-05,6.756497807794637e-05,885.022008604,153.37223195788567,131.67522223148603,961.3055739802522,0.6279089770838467,0.1191771195529735,0.25435520077524987,0.42651088654080993,0.0010940424945308654,4.706091525903981e-06,2.2251064645917133e-06,0.0010977677057209508,0.060200154417142805,0.0010985279756437136,0.0011816571556806377,0.06086944515244566,0.07171847264606754,0.001554489657673061,0.0005979915278921527,0.0722023003915368,130517.61557111642
46.0,9.42045233090395,33.9195353048885,13.539308541126836,10.527051165751645,8757.240682,130517.61557111642,1.902265461248614e-05,2.1595066279747443e-05,8.381870462918964e-06,7.700739299026604e-06,1429.143804255525,464.93026020414186,393.11862586365055,2343.408101765174,0.15669849353092455,0.023466276898455624,0.055909724651637904,0.16947520168737853,0.0010843581335143594,1.4649130389890984e-06,4.4690726047407967e-07,0.0010839951172815015,0.054570408413833926,0.0007727956322469351,0.000880558211004169,0.055272492156358176,0.06626312950768877,0.0018182327802286485,0.0005855301740283064,0.0662891450814305,130517.61557111642
66.0,11.753843268645358,35.42131985250597,14.5012525323367,13.966086421402865,8777.922265,130517.61557111642,7.028091887630106e-05,2.2978876995338434e-05,1.5161718532141182e-05,6.944266568800176e-05,925.900721904284,129.44228940801622,125.20878860213145,1003.0387333558425,0.5585767908153152,0.12528707782972015,0.08477575289501771,0.5685534906080297,0.0010954256295246344,1.5914680369720317e-06,2.3670443712595687e-06,0.0010952532810706594,0.05779908992168612,0.00047299484478929843,0.000780344293751678,0.05759829972208424,0.06930944838036024,0.0006074619296249778,0.0005137416443328074,0.06928717988680243,130517.61557111642
50.0,7.527945891582104,33.557210292630856,14.020350539816672,11.797950316357682,9061.110349,130517.61557111642,5.116855095965031e-05,3.435995626870505e-05,2.5740275309480153e-05,2.532061656510497e-05,1022.185770089795,324.656462174249,236.90815810267168,1391.4879938120719,0.9487606031958764,0.03474120610339748,0.28908855001544986,0.9770139880408605,0.0010880714877990014,5.399995804563707e-06,6.496326337697249e-07,0.0010875293726659648,0.055902717055520475,0.0031896441770132428,0.0004323661287223002,0.05545820264158703,0.06723351814330163,0.003616651538227947,0.0004331766274766058,0.06739006740821979,130517.61557111642
78.0,7.749390321499765,33.0180678837679,14.450963516923558,13.592234398068001,9185.200387,130517.61557111642,6.467489451558655e-05,2.5956264616251945e-05,1.6765156030519783e-05,6.417082979897269e-05,936.6619809749758,151.77603371573343,148.32315392725036,1009.6062593906671,0.6499149882327618,0.07715426365216349,0.08319074099777712,0.6545802068473192,0.001093684209776761,1.5812113727661434e-06,1.4442843266307837e-06,0.0010936071782882606,0.056907492131595114,0.0009700158675872567,0.0003837398873579867,0.05704826292275983,0.068363252800165,0.0016461600723408354,0.00047415379136706015,0.06848965831293842,130517.61557111642
80.0,16.14061023206233,38.76372544751468,14.985218829594862,14.34047094500752,9290.763778,130517.61557111642,7.421892549052459e-05,2.7668278808948876e-05,1.72478292961294e-05,6.734297543138282e-05,894.1015302207662,141.9845860631773,123.41804636746315,993.2347184759811,0.4652591627525373,0.10284413628387179,0.11056561865476477,0.5008951564473149,0.0010970836162175076,2.002926909629426e-06,1.876448060999375e-06,0.0010964097058308066,0.0575917107217131,0.0012654943695784918,0.0020153726942666803,0.05758957488532871,0.07025645711452509,0.0003757412985836428,0.00043727683953823093,0.06990685296262865,130517.61557111642
8.0,20.853635386152042,45.97846794930086,14.802995498330308,15.491385280319191,9395.473786,130517.61557111642,7.320299135529558e-05,2.1734537944782868e-05,1.649999066053824e-05,7.859767592386658e-05,1021.0076906046783,131.62454963026187,123.6485871235825,1046.2342044501997,0.7617612353583946,0.05471061800913046,0.0495261966568209,0.7471902434507647,0.001091601686746795,9.176093016833448e-07,1.0204213959212095e-06,0.0010918773008533438,0.05825789693323414,0.0007388099679211529,0.0004826272667700221,0.05882806338134901,0.07001170318127482,0.0004927993649247037,0.0007399520303314894,0.07031968844727751,130517.61557111642
26.0,16.30797395357109,40.96196857865645,15.060769441908896,14.213224430634956,9579.109057,130517.61557111642,6.0731542472262726e-05,1.9289486864238084e-05,1.358705564838132e-05,5.6236263929450216e-05,1006.0926312265725,137.46961102762668,145.20823050161493,1050.5693573677838,0.46031245377795094,0.06283018263465412,0.096048571921037,0.48650733571194055,0.001078766913047955,2.1643314417740117e-06,1.155576370130305e-06,0.0010781652843470859,0.05891186101812023,0.0008599268095179427,0.0011922278504916325,0.05959375258894329,0.07095149268578557,0.002177191291332939,0.0018787548670278348,0.0716803163718246,130517.61557111642
14.0,20.630386853206897,46.38330992122906,14.531344747861173,14.24187224897074,9647.507033,130517.61557111642,4.970279389933376e-05,1.4179003570516185e-05,1.1908100919352453e-05,4.943525702350518e-05,1152.862698204978,163.21055889836543,143.35861809833273,1153.6886388046873,0.5323630302559099,0.12080512912877539,0.04841405036673091,0.49808252823963195,0.0010957920069357614,9.09836016265873e-07,2.2429614475985744e-06,0.001096445257694592,0.05641131847677162,0.0006663255879249125,0.0007148078892442455,0.0553931966708253,0.06815350601956405,0.0003360759557733545,0.00043553887165359573,0.06797640626239347,130517.61557111642
