i,logB,maxloglikelihood,SNR_comb_signal,SNR_comb_median,SNR_comb_global,run_time,duration,amplitude_median,amplitude_plus,amplitude_minus,amplitude_global,phase_median,phase_plus,phase_minus,phase_global,spacing_median,spacing_plus,spacing_minus,spacing_global,width_median,fmin_median,fmax_median,duration_median
11,-6.718676911816718,4.790228575875556,0.0,2.1097301619007034,6.640382229023474,3:46:39.989505,50,0.006155530694351568,0.006136791791346322,0.0042949245545874865,0.021798040501976274,3.37469520650023,2.9767443748024927,2.383054257575072,9.088103192342249,7.592948811025358,1.832485310628246,2.6660399831524426,9.549699945894835,1.0,50.0,300.0,50.0
12,-6.813902251537365,4.98789408756546,0.0,1.9998899303598625,6.193845519596509,3:51:38.861773,50,0.005920387968260486,0.00629793613634949,0.004096045059734232,0.019595753247667838,3.4698688804867137,3.2107732418902453,2.4262528672202457,8.280883934255318,7.672772894940881,1.6316032286314002,2.8089568710168393,8.955444487643895,1.0,50.0,300.0,50.0
13,-6.981816691094195,5.649983430549469,0.0,1.8727512938376683,6.690037245185753,4:17:49.510363,50,0.005448303695200541,0.005734982671120718,0.0038228671659573422,0.018379700550924624,3.0747231872483862,3.0466233033452754,2.1439165482526326,0.9413768881369917,7.436413229971784,1.8904667668033088,2.7117966215533134,6.692455583801665,1.0,50.0,300.0,50.0
14,-5.90932519126948,8.898250799050764,0.0,4.6132234488526604,7.579567980648241,5:23:38.382324,50,0.01340702745501518,0.007445656485358099,0.008494200729484239,0.02202496241682851,4.091171135933516,2.54627083318882,2.84641531784979,4.167590301644885,7.539931290627531,1.4772321372410575,2.3243715702935814,7.536227284487379,1.0,50.0,300.0,50.0
15,-5.233828883214781,11.381289483529287,0.0,6.767671945027475,8.393252981164117,5:32:38.099123,50,0.021034591622124538,0.005614803788292714,0.014165338323550512,0.026087457557724653,2.2818335217049297,1.1368918261447396,0.2448582610178769,2.2878045374940106,8.721244504832862,0.010804049932103155,1.5897622092347898,8.722821757312065,1.0,50.0,300.0,50.0
16,-6.046406591947296,7.664985844663358,0.0,3.6660453768833854,7.849408196599465,4:45:58.665052,50,0.010839534931948468,0.007526519991183252,0.007249942304693767,0.024854303660469312,3.793290165429771,3.1680574712566214,2.7593937359443057,1.3164211809167297,7.8031317859371345,1.355511250126252,2.6177255404548117,8.87980458180256,1.0,50.0,300.0,50.0
17,-6.677479589419005,6.570224522080217,0.0,2.3827314062169007,6.338894266846971,4:21:46.976791,50,0.0070684891421146645,0.007363914227489259,0.004898112452642439,0.02080188804703114,3.1386163937848934,3.4048057708714685,1.969875735278763,2.759620617398664,7.950529730969603,1.6802019222969236,3.068856071770779,9.649105698323662,1.0,50.0,300.0,50.0
18,-5.942631380973194,8.418458848050959,0.0,3.718707465163005,7.470703351107893,5:01:36.058552,50,0.011039973617883107,0.0077742336416471575,0.0073106962355597715,0.022792123313637443,3.016503225320407,2.883739279960305,2.1653159727747293,3.0274780847474907,7.820824489093294,1.0870354545045053,3.040870978296655,8.295827358874691,1.0,50.0,300.0,50.0
19,-6.0944518652561905,8.238169432565721,0.0,3.5629312227541883,8.92913949006977,5:22:48.530857,50,0.01041166993000446,0.006896000035697753,0.00712653622080078,0.018857193581179307,3.267542416699439,3.2052151718503694,2.1355163026006583,1.3795768104068493,7.564325152372738,1.6926854065951327,2.8994402420748893,3.9357616381481138,1.0,50.0,300.0,50.0
20,-6.334905168469135,6.609976509144227,0.0,3.17342828051716,7.592688114130269,5:13:58.277582,50,0.009368023077895572,0.007412163405191786,0.006197049267600212,0.023498253576281367,3.4876898490992714,2.7848499193639435,2.558179911779294,5.9823251653247,7.681895623835794,1.4127421720392155,3.1366006977069283,8.584197317151418,1.0,50.0,300.0,50.0
21,-6.518600985202497,6.5095084596353665,0.0,2.570650095372121,6.759169287563765,5:13:52.273173,50,0.0074555073701456235,0.007261173487007308,0.005122805711030951,0.022569197066604745,3.4615818192701173,2.8798097316688773,2.428858622075882,6.240267642231036,7.571483423288677,1.8862704591691246,2.6911309719501952,9.97640412926106,1.0,50.0,300.0,50.0
22,-6.609174631096534,5.744977125468493,0.0,2.430580216674208,7.107766861976306,4:22:34.835252,50,0.0071871817043173665,0.006586849703151594,0.004978006334564829,0.01754849140941764,3.3358400158969523,2.823310987427483,2.315721992694481,3.9633594592578296,7.702247285700524,1.5688231001117483,2.922034625519575,5.3954337093535205,1.0,50.0,300.0,50.0
23,-4.976249981920918,10.368921074527917,0.0,5.838037531653772,10.4196288049197,6:25:20.978699,50,0.016050660031246486,0.005502879871646844,0.007440039816018724,0.018575557123661286,2.795118516920412,3.6097938761501362,1.8910948984220561,0.7324308562637147,6.629815190593309,2.8130876675111303,2.435223053558042,2.8468440823235204,1.0,50.0,300.0,50.0
24,-5.437008704861828,9.362800057433722,0.0,4.861828422458684,9.292755074371573,6:32:10.318389,50,0.013775247746913606,0.0063596796328521995,0.007556161896883246,0.020450639690931426,3.414990759062611,2.4002692486869397,2.431226539156997,4.071170598622491,7.141407907952081,2.341088980696167,3.4729929530052996,4.331358733536288,1.0,50.0,300.0,50.0
25,-6.028849201658342,8.09747569675979,0.0,3.9709309310825796,8.312988410601882,5:35:15.400730,50,0.011383756653345956,0.006495052992473761,0.007197546676988593,0.022226873618445848,3.010757310695922,3.226761478828682,2.07703811625999,2.322579625758071,7.3709877611937245,2.0628127186946017,3.0148134619984432,6.407678021958799,1.0,50.0,300.0,50.0
