echoamplitude_injected,duration,SNR,echoamplitude_searched_new,echoamplitude_searched_old,echoamplitude_searched_new_error,echoamplitude_searched_old_error,echoamplitude_searched_new_error_up,echoamplitude_searched_new_error_down,echoamplitude_searched_old_error_up,echoamplitude_searched_old_error_down,echoamplitude_searched_new_min,echoamplitude_searched_new_max,echoamplitude_searched_old_min,echoamplitude_searched_old_max,log_likelihood_new,log_likelihood_old,log_likelihood_new_error,log_likelihood_old_error,log_likelihood_new_error_up,log_likelihood_new_error_down,log_likelihood_old_error_up,log_likelihood_old_error_down,normalized_echoamplitude_injected,normalized_echoamplitude_searched_new,normalized_echoamplitude_searched_old,normalized_echoamplitude_searched_new_min,normalized_echoamplitude_searched_new_max,normalized_echoamplitude_searched_old_min,normalized_echoamplitude_searched_old_max
0.1,0.32,3.0536279945884943,0.09401694915254233,0.09045762711864402,0.041084745762711844,0.05715254237288135,0.050033898305084694,0.1322033898305084,0.022983050847457602,0.1372881355932203,0.0,0.1779661016949152,0.0,0.1779661016949152,1.5851863446749854,1.3808787985142834,1.409982165187015,1.3259165678737297,0.09682558359659862,2.9167899139706286,0.0038461014104018477,2.655679237157861,15.99704339918486,15.039404619706328,14.469319451146069,0.0,28.499522776574057,0.0,28.499522776574057
0.1,0.3377777777777778,3.161205962319338,0.09381355932203386,0.09427118644067792,0.06091525423728813,0.04616949152542375,0.017084745762711812,0.13891525423728807,0.044949152542372806,0.1372881355932203,0.0,0.1932203389830508,0.0,0.1728813559322033,2.018059091738443,1.5780880434090365,1.7760724298118657,1.5378157106836008,0.0014935626743026917,3.553638422298034,0.040419017847223064,3.116050439214425,15.570380148012607,14.605175289313559,14.680519921426583,0.0,30.069071829645832,0.0,27.003749861902826
0.1,0.3555555555555556,3.194090548469987,0.0917796610169491,0.0914745762711864,0.0406779661016949,0.04616949152542375,0.0508474576271186,0.1322033898305084,0.044949152542372806,0.1372881355932203,0.0,0.1830508474576271,0.0,0.1779661016949152,1.6867193470565582,1.4568819413235656,1.6432790319017783,1.4307363945016203,0.09059008887463288,3.3771481526781892,0.02925873727400897,2.8907315262772495,15.174960381081013,13.927681841527512,13.880813422066124,0.0,27.87981962445545,0.0,27.105380190442805
0.1,0.3733333333333333,3.326762867740561,0.0939661016949152,0.09264406779661014,0.041084745762711844,0.04362711864406779,0.0508474576271186,0.13301694915254228,0.0457627118644067,0.13301694915254228,0.0,0.1728813559322033,0.0,0.1728813559322033,2.0561848521148303,1.6970618236824206,1.8590861605672366,1.7445556619549014,0.1675474304672344,3.8857197516017075,0.07525903389397691,3.5643703578037798,14.810179079795637,13.918719825820592,13.722654487368661,0.0,25.383507118567607,0.0,25.496839345857083
0.1,0.3911111111111111,3.252240086823918,0.09884745762711859,0.09681355932203385,0.04108474576271184,0.048711864406779645,0.0559322033898305,0.13810169491525418,0.050033898305084694,0.147457627118644,0.0,0.1779661016949152,0.0,0.2033898305084745,2.155751495904514,1.6301125183222445,1.985572782102254,1.7314891774822996,0.1546289594221035,4.125774523626611,0.08873433897399574,3.551712693938595,14.469072520360472,14.29872746152947,14.00216741794226,0.0,25.769990175966864,0.0,29.452290137825468
0.1,0.4088888888888889,3.439449791988106,0.09935593220338976,0.0972203389830508,0.035593220338983045,0.040677966101694905,0.0610169491525423,0.1322033898305084,0.0559322033898305,0.1372881355932203,0.0,0.1677966101694915,0.0,0.1728813559322033,2.2221112847554703,1.7471655542666429,1.9749233528533212,1.6391281620008187,0.26875388055858895,4.218600586265231,0.12810445260415185,3.4063607766057893,14.152079897326246,14.059338189980968,13.757202006547663,0.0,23.723860601466985,0.0,24.42122437710043
0.1,0.4266666666666666,3.5530220937142185,0.09376271186440675,0.0931525423728813,0.03386440677966103,0.038135593220338944,0.06020338983050841,0.12793220338983047,0.0559322033898305,0.1322033898305084,0.0,0.1728813559322033,0.0,0.1677966101694915,2.2777549435609896,2.0479143568442515,1.9625279063152241,1.783629180647331,0.24851215674731583,4.173567969377764,0.21623331007097954,3.7834916713656415,13.85363785493654,12.987904226882943,12.903633372462325,0.0,23.773312337090456,0.0,23.074097268352503
0.1,0.4444444444444444,3.5824311531809503,0.09416949152542367,0.092593220338983,0.03599999999999999,0.0406779661016949,0.06020338983050841,0.1322033898305084,0.0508474576271186,0.1322033898305084,0.0,0.1728813559322033,0.0,0.1677966101694915,2.455270361662347,2.025950180363695,2.1710000461091044,1.905876961199112,0.2854425677394919,4.6274426599577,0.12094109350324846,3.9326950159014724,13.57397810416408,12.782558265271389,12.56818438132635,0.0,23.419002329230903,0.0,22.81742185006842
0.1,0.4622222222222222,3.6102571683366653,0.09605084745762707,0.09508474576271184,0.03345762711864405,0.030915254237288137,0.06528813559322029,0.1322033898305084,0.0661016949152542,0.12793220338983047,0.0,0.1525423728813559,0.0,0.1576271186440677,2.4279115164659815,2.1149367485106936,2.134890431316119,1.8128115156170876,0.4594353658301242,4.729216228462363,0.37414953138044127,3.9997725626146163,13.309895202585771,12.784055346558668,12.65575781976596,0.0,20.280332202799805,0.0,21.07572731683709
0.1,0.48,3.7078152610508988,0.096457627118644,0.09437288135593215,0.02837288135593223,0.03599999999999998,0.071186440677966,0.12793220338983047,0.0559322033898305,0.12793220338983047,0.0,0.1830508474576271,0.0,0.1881355932203389,2.834311696434948,2.3888874602773833,2.078404851567939,1.8862911555477693,0.6903211717704266,4.847130874906305,0.21008184274388858,3.982664153839427,13.06134065127931,12.595634803619749,12.324554848682707,0.0,23.853645681985444,0.0,24.51624695092948
