echoamplitude_injected,duration,i,fmin,fmax,SNR,echoamplitude_searched_new,echoamplitude_searched_old,log_likelihood_new,log_likelihood_old,normalized_echoamplitude_injected,normalized_echoamplitude_searched_new,normalized_echoamplitude_searched_old
0.0,4,0,110.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,1,110.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,2,110.0,140.0,0.0,0.0406779661016949,0.0457627118644067,1.2015861010713236,1.2719863622428829,0.0,1.84625205248214,2.077033559042408
0.0,4,3,110.0,140.0,0.0,0.0457627118644067,0.035593220338983,1.4496953475796277,0.6371175309438418,0.0,2.0635077489993563,1.6049504714439435
0.0,4,4,110.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,5,110.0,140.0,0.0,0.0,0.035593220338983,0.0,0.5078455725293788,0.0,0.0,1.6168062391850475
0.0,4,6,110.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,7,110.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,8,110.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,9,110.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,10,110.0,140.0,0.0,0.0254237288135593,0.0254237288135593,0.2191165755658346,0.2642884305117663,0.0,1.1496121415238287,1.1496121415238287
0.0,4,11,110.0,140.0,0.0,0.0305084745762711,0.0457627118644067,0.3817001791824659,1.1683938550523985,0.0,1.387687360919185,2.0815310413787778
0.0,4,12,110.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,13,110.0,140.0,0.0,0.0305084745762711,0.0254237288135593,0.3320043759274009,0.1436437164975715,0.0,1.3801273091400617,1.1501060909500511
0.0,4,14,110.0,140.0,0.0,0.0152542372881355,0.0,0.0365270888137209,0.0,0.0,0.6919292847917242,0.0
0.0,4,15,110.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,16,110.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,17,110.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,18,110.0,140.0,0.0,0.0152542372881355,0.0203389830508474,0.0206205230732982,0.1176018768526151,0.0,0.690199680630812,0.9202662408410828
0.0,4,19,110.0,140.0,0.0,0.0254237288135593,0.0254237288135593,0.2369370398636738,0.3103999656268988,0.0,1.1472063270802626,1.1472063270802626
0.0,4,20,110.0,140.0,0.0,0.0203389830508474,0.0,0.0806221039173558,0.0,0.0,0.9211169928542532,0.0
0.0,4,21,110.0,140.0,0.0,0.0101694915254237,0.0101694915254237,0.0068475510525265,0.006423316881747,0.0,0.4589686890270094,0.4589686890270094
0.0,4,22,110.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,23,110.0,140.0,0.0,0.0406779661016949,0.0406779661016949,1.0474197052489689,0.8283419620742936,0.0,1.828785208480224,1.828785208480224
0.0,4,24,110.0,140.0,0.0,0.0203389830508474,0.0254237288135593,0.0849626625037072,0.1312129181099112,0.0,0.9162799433784254,1.1453499292230318
0.0,4,25,110.0,140.0,0.0,0.0508474576271186,0.0508474576271186,2.348626156421222,1.87899763704079,0.0,2.2963537898953623,2.2963537898953623
0.0,4,26,110.0,140.0,0.0,0.0101694915254237,0.0152542372881355,0.0124672127732125,0.0174563925912314,0.0,0.4611757586878944,0.6917636380318417
