echoamplitude_injected,duration,SNR,echoamplitude_searched_new,echoamplitude_searched_old,echoamplitude_searched_new_error,echoamplitude_searched_old_error,echoamplitude_searched_new_error_up,echoamplitude_searched_new_error_down,echoamplitude_searched_old_error_up,echoamplitude_searched_old_error_down,echoamplitude_searched_new_min,echoamplitude_searched_new_max,echoamplitude_searched_old_min,echoamplitude_searched_old_max,log_likelihood_new,log_likelihood_old,log_likelihood_new_error,log_likelihood_old_error,log_likelihood_new_error_up,log_likelihood_new_error_down,log_likelihood_old_error_up,log_likelihood_old_error_down,normalized_echoamplitude_injected,normalized_echoamplitude_searched_new,normalized_echoamplitude_searched_old,normalized_echoamplitude_searched_new_min,normalized_echoamplitude_searched_new_max,normalized_echoamplitude_searched_old_min,normalized_echoamplitude_searched_old_max
0.0,4,0.0,0.01301694915254235,0.014440677966101666,0.01525423728813555,0.015661016949152493,0.0,0.0305084745762711,0.0,0.031322033898304985,0.0,0.0610169491525423,0.0,0.0610169491525423,0.23755190656030453,0.2436965832348272,0.16997785222410555,0.22116582851437488,0.0,0.3399557044482111,0.0,0.44233165702874977,0.0,0.5891084143265279,0.6534875219399138,0.0,2.7472659532716914,0.0,2.7472659532716914
0.0,10,0.0,0.009305084745762691,0.015355932203389799,0.01271186440677965,0.018203389830508444,0.0,0.0254237288135593,0.0,0.03640677966101689,0.0,0.0508474576271186,0.0,0.0610169491525423,0.1598978662660246,0.20141042503323459,0.14976929710874504,0.18036898356780368,0.0,0.2995385942174901,0.0,0.36073796713560735,0.0,0.2663339942074438,0.43927239010504215,0.0,1.4713158417949348,0.0,1.7468208225253543
0.0,50,0.0,0.009610169491525404,0.020898305084745737,0.01271186440677965,0.02796610169491525,0.0,0.0254237288135593,0.0,0.0559322033898305,0.0,0.0559322033898305,0.0,0.0915254237288135,0.1368317789272503,0.26188504227598824,0.11632972937835688,0.22562830334465545,0.0,0.23265945875671376,0.0,0.4512566066893109,0.0,0.12304376115108068,0.267298282761243,0.0,0.7183546549212161,0.0,1.1637856738168348
0.0,100,0.0,0.008949152542372862,0.0284237288135593,0.01271186440677965,0.0330508474576271,0.0,0.0254237288135593,0.0,0.0661016949152542,0.0,0.0508474576271186,0.0,0.111864406779661,0.14984936166067858,0.32074469906542613,0.08562154616273507,0.2747410997713385,0.0,0.17124309232547014,0.0,0.549482199542677,0.0,0.08095759697912029,0.25713958951623284,0.0,0.461778720107658,0.0,1.0023873668114205
0.0,200,0.0,0.009610169491525407,0.0336101694915254,0.01271186440677965,0.04108474576271184,0.0,0.0254237288135593,0.0,0.08216949152542367,0.0,0.0559322033898305,0.0,0.1372881355932203,0.16961009376077868,0.358640767801267,0.12561418089513027,0.3536693233703952,0.0,0.25122836179026053,0.0,0.7073386467407904,0.0,0.061511071567303593,0.21510546807118414,0.0,0.3591806573894249,0.0,0.878498846209837
0.0,500,0.0,0.009813559322033873,0.033864406779660995,0.01271186440677965,0.04576271186440675,0.0,0.0254237288135593,0.0,0.0915254237288135,0.0,0.0457627118644067,0.0,0.1983050847457627,0.13028123551246748,0.25630549698075766,0.06946326651667413,0.21116679991617998,0.0,0.13892653303334826,0.0,0.42233359983235996,0.0,0.039740545285453975,0.1369757791869515,0.0,0.1872669115047419,0.0,0.7946772881901659
0.01,4,0.72260361339761,0.014847457627118612,0.016677966101694884,0.015661016949152493,0.0177966101694915,0.0,0.031322033898304985,0.0,0.035593220338983,0.0,0.0610169491525423,0.0,0.0610169491525423,0.30575661064779364,0.31043245433452094,0.25768261578571583,0.3120015632867331,0.0,0.5153652315714317,0.0,0.6240031265734662,0.45242420389757165,0.6716633828246041,0.7546424686242449,0.0,2.7472659532716914,0.0,2.7472659532716914
0.01,10,0.7427754964039637,0.011847457627118625,0.01810169491525421,0.0177966101694915,0.02033898305084745,0.0,0.035593220338983,0.0,0.0406779661016949,0.0,0.0559322033898305,0.0,0.0610169491525423,0.22798141320096474,0.24396271852844953,0.27112166001765703,0.22947693223520918,0.0,0.5422433200353141,0.0,0.45895386447041836,0.28613620668568585,0.33896271408970224,0.5177086923672771,0.0,1.6184474259744284,0.0,1.7468208225253543
0.01,50,0.7304189106770589,0.012711864406779634,0.022627118644067773,0.01525423728813555,0.02796610169491525,0.0,0.0305084745762711,0.0,0.0559322033898305,0.0,0.0559322033898305,0.0,0.0915254237288135,0.20695849552805204,0.2885648596637276,0.1750612618544234,0.2638449219310488,0.0,0.3501225237088468,0.0,0.5276898438620976,0.12796353408523095,0.16269159511442716,0.28939262241485303,0.0,0.7183546549212161,0.0,1.1637856738168348
0.01,100,0.7317591880910903,0.012305084745762687,0.029796610169491502,0.01525423728813555,0.033457627118644036,0.0,0.0305084745762711,0.0,0.06691525423728807,0.0,0.0508474576271186,0.0,0.111864406779661,0.21996955561196285,0.3412408692315703,0.21503710576678126,0.30081601725192325,0.0,0.4300742115335625,0.0,0.6016320345038465,0.09048384152150335,0.1112885515675315,0.2695450726223836,0.0,0.461778720107658,0.0,1.0023873668114205
0.01,200,0.731071431413244,0.012406779661016927,0.034372881355932174,0.015661016949152493,0.0432203389830508,0.0,0.031322033898304985,0.0,0.0864406779661016,0.0,0.0559322033898305,0.0,0.1372881355932203,0.23385751355402906,0.3732066144326152,0.2336949538323694,0.3928448761707037,0.0,0.4673899076647388,0.0,0.7856897523414074,0.0639817233793565,0.07937379730403592,0.21997755117046375,0.0,0.3591806573894249,0.0,0.878498846209837
0.01,500,0.7317486269594421,0.01306779661016946,0.03477966101694913,0.013118644067796585,0.04576271186440675,0.0,0.02623728813559317,0.0,0.0915254237288135,0.0,0.0508474576271186,0.0,0.1983050847457627,0.19155486175257444,0.26426883871018686,0.17624050713021544,0.22437530638908493,0.0,0.3524810142604309,0.0,0.44875061277816986,0.040465589381461324,0.05288928591247195,0.14067643016839199,0.0,0.2080743461163798,0.0,0.7946772881901659
0.03,4,2.16781084019283,0.028220338983050805,0.02918644067796607,0.0254237288135593,0.0254237288135593,0.0,0.0508474576271186,0.0,0.0508474576271186,0.0,0.071186440677966,0.0,0.0762711864406779,0.9618903719962324,0.9431058822911857,0.9565470712381878,1.0924107897951651,0.0,1.9130941424763757,0.0,2.1848215795903303,1.357272611692715,1.276270219327193,1.3199086940162439,0.0,3.207701980900408,0.0,3.4368235509647223
0.03,10,2.2283264892118906,0.029084745762711826,0.031169491525423695,0.02288135593220335,0.02583050847457624,0.0,0.0457627118644067,0.0,0.05166101694915248,0.0,0.0661016949152542,0.0,0.071186440677966,0.939837373831204,0.636120692052623,1.0126858417242806,0.708951211695554,0.0,2.025371683448561,0.0,1.417902423391108,0.8584086200570574,0.8320448596727184,0.8913451986824781,0.0,1.9127105943334155,0.0,2.0463314793365672
0.03,50,2.191256732031177,0.02893220338983047,0.03142372881355929,0.02288135593220335,0.0330508474576271,0.0,0.0457627118644067,0.0,0.0661016949152542,0.0,0.0661016949152542,0.0,0.0966101694915254,0.9042323604699124,0.46149331617863815,0.9681151864941877,0.46410795443513586,0.0,1.9362303729883754,0.0,0.9282159088702717,0.38389060225569294,0.37019189436444633,0.40195203344806485,0.0,0.8425382894234278,0.0,1.2284404334733257
0.03,100,2.1952775642732707,0.029847457627118604,0.03661016949152539,0.0254237288135593,0.038542372881355896,0.0,0.0508474576271186,0.0,0.07708474576271179,0.0,0.0661016949152542,0.0,0.1220338983050847,0.9453280508104973,0.467897624532818,1.1009557558502865,0.47882092145357247,0.0,2.201911511700573,0.0,0.9576418429071449,0.2714515245645102,0.2699498824878042,0.3311064667808222,0.0,0.5989973383205324,0.0,1.093513491067004
