name,log_likelihood_median,log_likelihood_plus,log_likelihood_minus,spacing_median,spacing_plus,spacing_minus,phase_median,phase_plus,phase_minus,amplitude_median,amplitude_plus,amplitude_minus,log10width_median,log10width_plus,log10width_minus,fmin_median,fmin_plus,fmin_minus,fmax_median,fmax_plus,fmax_minus,SNR_median,SNR_plus,SNR_minus,qfactor_median,qfactor_plus,qfactor_minus
w1specM50Rw0.99Chi0.69N010newlikelihood,-1.58798990237336,6.401792476725774,1.0621871205494902,0.001152983478875796,0.0010629614618676915,0.0005123455087432665,0.5883755667007068,0.3639381408470058,0.5294096778345146,0.8707630578451555,0.16331797032082607,0.4006148933960489,-3.7332533445801164,0.8714164873930264,0.19351573913174303,0.04229493196580702,0.02476489965857364,0.038563733466616214,0.07736820233140906,0.006509547701321117,0.04176617446665439,6.296729437630336,4.160638411041402,5.493658373625697,6.422252380203209,7.5848452358848855,5.601065232112801
w1specM50Rw0.99Chi0.69N020newlikelihood,0.816859970115584,14.43023064263905,3.44386988518608,0.0011498553666640784,0.0011223261285534833,0.0004202078232843527,0.7835148524041654,0.1574838957725181,0.7084705140743797,1.0401900854268988,0.08099393703966618,0.40853035231979895,-4.141495821736195,0.949810350655504,0.09259217149574361,0.04760136846045769,0.016496825393988987,0.0425139390228186,0.07950448944623559,0.004521317157624813,0.03696714531093728,9.140718921446204,3.3784812306305056,7.505843087629353,16.554042006053287,12.035660981824826,14.668635586112401
w1specM50Rw0.99Chi0.69N050newlikelihood,20.80148841230382,15.57406779201083,23.065774895525323,0.001149302764449282,0.0006109635694861719,0.00038305968192680674,0.8259490353367975,0.04890881838777905,0.6357565628330786,1.173018684067208,0.05123404625819439,0.2695469358746585,-4.563814266484685,0.5810868261708508,0.06894542259419278,0.04849688948590455,0.012056446245193128,0.028502147674754272,0.0784868465247534,0.005150035111118542,0.00785464981186404,12.363317891896891,2.663147835851399,7.29294375432396,42.30602903440202,7.620224947422834,31.24125742485198
w1specM50Rw0.99Chi0.69N100newlikelihood,38.054691072917336,24.120765294685654,23.6377665096716,0.0011492453707412013,2.724346185589699e-07,0.0005746153404077945,0.8309983650783332,0.012914162627635895,0.16267503527675575,1.2331907398495958,0.057649174157249794,0.07326025439239503,-4.798122886569455,0.2198021151191556,0.12663568356787103,0.0455424394474205,0.009560407152314945,0.012897850680978415,0.07630934954048163,0.00526986522988486,0.0034531135603692448,14.26545584175965,2.5837747498070804,2.7668612104400125,69.82952369601415,26.45303796174663,34.41966998687258
w1specM50Rw0.99Chi0.69N150newlikelihood,40.44729979907503,20.090734834329375,37.03864207839765,0.0011492826465315385,2.9799413798245293e-07,0.0005746332458786699,0.829537116954522,0.010413191449507586,0.20171455889067014,1.250119330787069,0.05933949743125755,0.11337641074121363,-4.861493624961041,0.2918943944477306,0.2039811020441471,0.044648171344282735,0.011415646655478472,0.016076146537459687,0.076156900475548,0.0048746112561771915,0.005120712623221169,14.513036491802794,2.442493884461644,4.608695865949118,79.3052322560432,53.73373166162834,43.39050521411608
w1specM50Rw0.99Chi0.69N200newlikelihood,35.26773634889092,23.642124112352008,34.92368646975993,0.00114925398508133,3.7920493445916387e-07,0.0005745902086947727,0.8313915217040416,0.00992134736222483,0.18763498033857917,1.246136019214142,0.059716605191254324,0.1202267796479104,-4.855394855653655,0.3963867358047919,0.24091284049477313,0.04411905815920151,0.010272032551542624,0.018649152798632256,0.07539181555808559,0.0060397290838825335,0.00474802623543924,14.200983608346778,2.6188220102199296,5.173978499075606,81.05952279287895,60.016132961758686,49.7513684431696
w1specM50RdV0.2Chi0.69N010newlikelihood,-2.0754550877099938,2.849896060049031,0.760511885450533,0.0012321904638953223,0.0009572894759644665,0.000592706635897553,0.5144169696611922,0.4358483107078356,0.46290410583884506,0.8066624821883529,0.18641154897991907,0.3903359157423982,-3.6372537713476336,0.8193832356179604,0.2799322138335816,0.030415086439259175,0.03377794874176497,0.027715034201372165,0.0723611311033813,0.011186841225897567,0.041104869592981964,4.956244498898286,4.698891572908353,4.364804334658195,5.099011995959642,8.315190415685805,4.3270568443130415
w1specM50RdV0.2Chi0.69N020newlikelihood,-1.7266441485590662,8.191576359001115,1.04864502909706,0.0011504472163284822,0.0010460206584992616,0.00045555165920933285,0.6914631200640173,0.24837382263922736,0.6368589599633667,0.9403639646416064,0.15708899674659826,0.41316082901049267,-4.02468494176626,1.0266331332473397,0.20413337129223574,0.03508914776469933,0.029479306382079268,0.032141971209914987,0.07675891311829748,0.0071736029143077,0.04198830177415717,6.910035341041934,4.469097311178001,6.008460860074894,13.251669913722994,11.180244892531098,12.017566923063995
w1specM50RdV0.2Chi0.69N050newlikelihood,4.142995643031217,20.791350070771436,6.670182034297685,0.0011493251470533843,0.0009680163190131383,0.0005745116709963853,0.8213027222910233,0.05806953011819205,0.696908092701658,1.1366915799016002,0.06562341634815194,0.3958809224990799,-4.545191198366963,0.935968231104233,0.08667293093409523,0.04358740433414895,0.017722936274262455,0.03607746449244201,0.07791351642124236,0.005531026054043778,0.03231284211564662,10.804580959570018,3.2454441910804075,8.59890243685447,40.90621771869611,20.96531480049294,36.29173372822847
w1specM50RdV0.2Chi0.69N100newlikelihood,34.235589122304994,25.285603833208675,35.93831842441621,0.0011492620112695875,0.00011873929695147044,0.0005746085237818702,0.8306029720490417,0.009079117853029617,0.3923155799952013,1.2350176513454545,0.04627607953661439,0.16563802198512279,-4.873671718910282,0.4030157187853085,0.06064844055654017,0.03743196555808742,0.014298508441166327,0.019824795374095622,0.07640798171273779,0.005252392590679708,0.004115266069078041,14.427465432846287,2.651367297675222,6.503301986422005,85.26367540989183,13.754928351994764,55.426331152543284
