names,log10width_median,log10width_plus,log10width_minus,amplitude_median,amplitude_plus,amplitude_minus,phase_median,phase_plus,phase_minus,spacing_median,spacing_plus,spacing_minus,fmin_median,fmin_plus,fmin_minus,fmax_median,fmax_plus,fmax_minus,duration_median,duration_plus,duration_minus,log_likelihood_median,log_likelihood_plus,log_likelihood_minus,log_prior_median,log_prior_plus,log_prior_minus,SNR_median,SNR_plus,SNR_minus
B1N010new,-3.7332533445801164,0.8714164873930264,0.19351573913174303,152.7243685982893,239.4834936614178,137.61834105953366,0.5883755667007068,0.3639381408470058,0.5294096778345146,0.001152983478875796,0.0010629614618676915,0.0005123455087432665,0.04229493196580702,0.02476489965857364,0.038563733466616214,0.07736820233140906,0.006509547701321117,0.04176617446665439,8701.17437140776,0.0,0.0,6.205204299414771,17.390427885883735,6.556288342462009,12.578351677268415,0.446942456285365,2.005355134088326,6.296729437630336,4.160638411041402,5.493658373625697
B1N020new,-4.141495821736195,0.949810350655504,0.09259217149574361,406.05708190439486,242.13475809991098,367.679703631236,0.7835148524041654,0.1574838957725181,0.7084705140743797,0.0011498553666640784,0.0011223261285534833,0.0004202078232843527,0.04760136846045769,0.016496825393988987,0.0425139390228186,0.07950448944623559,0.004521317157624813,0.03696714531093728,17402.34874281552,0.0,0.0,19.721557230283885,17.214111857258523,19.75942302547136,12.962944882126338,0.2133393492468727,2.188125381878965,9.140718921446204,3.3784812306305056,7.505843087629353
B1N050new,-4.563814266484685,0.5810868261708508,0.06894542259419278,874.0288608988982,300.8769953885786,689.6992345391814,0.8259490353367975,0.04890881838777905,0.6357565628330786,0.001149302764449282,0.0006109635694861719,0.00038305968192680674,0.04849688948590455,0.012056446245193128,0.028502147674754272,0.0784868465247534,0.005150035111118542,0.00785464981186404,43505.871857038794,0.0,0.0,44.81841218220021,16.862857303846084,42.323222210442545,13.257011718871444,0.15892651624625032,1.340800585190463,12.363317891896891,2.663147835851399,7.29294375432396
B1N100new,-4.798122886569455,0.2198021151191556,0.12663568356787103,1237.2385465794973,488.6763971229136,426.76316137007825,0.8309983650783332,0.012914162627635895,0.16267503527675575,0.0011492453707412013,2.724346185589699e-07,0.0005746153404077945,0.0455424394474205,0.009560407152314945,0.012897850680978415,0.07630934954048163,0.00526986522988486,0.0034531135603692448,87011.74371407759,0.0,0.0,62.46575101813219,25.279664026492803,23.835211425607298,13.309320309005933,0.2915017389913448,0.5064681398421822,14.26545584175965,2.5837747498070804,2.7668612104400125
B1N150new,-4.861493624961041,0.2918943944477306,0.2039811020441471,1364.3222138392648,557.5400604826095,655.3918353352749,0.829537116954522,0.010413191449507586,0.20171455889067014,0.0011492826465315385,2.9799413798245293e-07,0.0005746332458786699,0.044648171344282735,0.011415646655478472,0.016076146537459687,0.076156900475548,0.0048746112561771915,0.005120712623221169,130517.61557111642,0.0,0.0,66.62174359223089,19.774690726573994,41.714406964786605,13.178724482575566,0.4699206538223901,0.6726276191692815,14.513036491802794,2.442493884461644,4.608695865949118
B1N200new,-4.855394855653655,0.3963867358047919,0.24091284049477313,1333.3174241467268,548.9650650965509,667.3683380674872,0.8313915217040416,0.00992134736222483,0.18763498033857917,0.00114925398508133,3.7920493445916387e-07,0.0005745902086947727,0.04411905815920151,0.010272032551542624,0.018649152798632256,0.07539181555808559,0.0060397290838825335,0.00474802623543924,174023.48742815517,0.0,0.0,62.00647749885656,24.8932505676135,39.992020607012506,12.971160568825704,0.5548306672963257,0.9142601079665749,14.200983608346778,2.6188220102199296,5.173978499075606
B2N010new,-3.6372537713476336,0.8193832356179604,0.2799322138335816,105.47306055980026,204.03297180380127,94.40265410832696,0.5144169696611922,0.4358483107078356,0.46290410583884506,0.0012321904638953223,0.0009572894759644665,0.000592706635897553,0.030415086439259175,0.03377794874176497,0.027715034201372165,0.0723611311033813,0.011186841225897567,0.041104869592981964,8701.17437140776,0.0,0.0,2.2048179431864803,14.846912848230332,2.7837971052560477,12.356728404245313,0.6453635652228407,1.885467057553086,4.956244498898286,4.698891572908353,4.364804334658195
B2N020new,-4.02468494176626,1.0266331332473397,0.20413337129223574,228.16199091348474,337.0232875659452,207.16682992651462,0.6914631200640173,0.24837382263922736,0.6368589599633667,0.0011504472163284822,0.0010460206584992616,0.00045555165920933285,0.03508914776469933,0.029479306382079268,0.032141971209914987,0.07675891311829748,0.0071736029143077,0.04198830177415717,17402.34874281552,0.0,0.0,8.049713417565226,19.568689706781367,8.352122797717863,12.695036152912063,0.4686327921340876,2.3659756766470394,6.910035341041934,4.469097311178001,6.008460860074894
B2N050new,-4.545191198366963,0.935968231104233,0.08667293093409523,708.6469811039821,326.47327515919994,636.586476353544,0.8213027222910233,0.05806953011819205,0.696908092701658,0.0011493251470533843,0.0009680163190131383,0.0005745116709963853,0.04358740433414895,0.017722936274262455,0.03607746449244201,0.07791351642124236,0.005531026054043778,0.03231284211564662,43505.871857038794,0.0,0.0,29.132854398553487,19.590153966902452,29.125733608561216,13.212589951258956,0.20005515734017543,2.152089519674135,10.804580959570018,3.2454441910804075,8.59890243685447
B2N100new,-4.873671718910282,0.4030157187853085,0.06064844055654017,1250.359102211326,382.99584596511636,769.8884770653727,0.8306029720490417,0.009079117853029617,0.3923155799952013,0.0011492620112695875,0.00011873929695147044,0.0005746085237818702,0.03743196555808742,0.014298508441166327,0.019824795374095622,0.07640798171273779,0.005252392590679708,0.004115266069078041,87011.74371407759,0.0,0.0,60.83030272462371,25.460934701162387,45.85940998050913,13.482793502329416,0.13965603062552212,0.9249900359896426,14.427465432846287,2.651367297675222,6.503301986422005
B2N150new,-5.051456625028349,0.8762064382934946,0.05911699392241587,1614.621285690779,441.6245972266495,1340.9891958704843,0.8302589487428494,0.0051355756683434395,0.5958487996084626,0.0011492726892938139,0.0006103495576079462,0.0005746407557134379,0.032905505681185186,0.016013577833394063,0.01795671691940876,0.07572779490367826,0.00549298420820675,0.012215508598251351,130517.61557111642,0.0,0.0,77.13110997812298,21.320150210722332,72.43488293679937,13.616042488829548,0.13632783442382035,2.0171656027276708,15.811545704986065,2.566119733431753,10.108245696285767
B2N200new,-5.181942541677413,0.6948605538169232,0.054244816158512954,1949.9230983876062,506.11268337417937,1523.1468779616657,0.8311046148776574,0.004584803172046459,0.5347447049069811,0.0011492646660836102,0.000723652218268994,0.000574637782045809,0.0315841531082224,0.015975820003003488,0.01739106676091036,0.07440194411032043,0.006700259650060339,0.005466181806866921,174023.48742815517,0.0,0.0,85.06355780588211,28.710177954867774,79.32590273336001,13.724123966566903,0.1252046668872655,1.601378863527044,16.434122749993648,2.6379482885836367,10.340077169262909
B3N010new,-3.860043706410643,0.3935711324127107,0.07346562231840537,351.59744546172385,149.12235262347025,240.85491168605623,0.47666560438886374,0.4839509607634651,0.439784420806057,0.0011091445920311236,0.0010955810909024609,1.3633490739702655e-05,0.05668900220356206,0.008648643749884291,0.03349003335484776,0.07939717020447577,0.004669584832024565,0.009244660566591609,8701.17437140776,0.0,0.0,24.18254976393553,15.498866335784594,19.047621262432898,12.870637293069938,0.17069371741123618,0.9059122906159391,9.62030732073843,2.7041410739069818,3.969681665657033
B3N020new,-4.105974677823357,0.5459536461619732,0.12442124384645048,540.0242250205775,280.6960883440913,319.5899545920237,0.47676435776274817,0.47207742240108697,0.40040208158861657,0.0011066129498638647,1.4305012797541502e-05,1.528336469893885e-05,0.05877817353431599,0.0057675193681942585,0.015017370421818027,0.07644353549858539,0.006766606633385588,0.007232491354221798,17402.34874281552,0.0,0.0,31.401952390823396,16.580814213891294,16.160299366396046,12.881535196883629,0.28677152438969067,1.254033479051671,10.231869750647384,2.5027237432951495,2.8459298592208393
B3N050new,-4.206262241861061,0.4439688011645746,0.3985793745961921,686.3568922518922,575.307434107967,373.71489835642024,0.5865389194142783,0.3765601581632677,0.5287964591662708,0.0011053994931081472,2.3674945529766466e-05,1.570641089015121e-05,0.059492545221863674,0.004749322478828477,0.013006443460934054,0.07483639073503784,0.007454304002573894,0.006626225658579829,43505.871857038794,0.0,0.0,34.015111925304254,16.42109255382227,14.587407609153267,12.432510785407768,0.917579359942069,1.0189933452613467,10.350970684262567,2.355671178497218,2.547829414792788
B3N100new,-4.1916791630364765,0.5510307200740678,0.6120178295277148,671.3378086182739,744.8449094273332,406.61008440396716,0.510010962499367,0.43095249927109014,0.4517139590997638,0.001100742914677966,1.9081265296228564e-05,1.440850756914496e-05,0.05882270272862724,0.006177556378164577,0.014818998015589814,0.07363776587168573,0.009223612058782069,0.005699823736183274,87011.74371407759,0.0,0.0,32.354932471506494,11.612022389312749,11.926166799723742,11.91123206619605,1.410578107423488,1.268628315260992,10.17490175718471,2.1185975694045123,2.2049712546946942
