i,logB,maxloglikelihood,SNR_inj_signal,SNR_comb_global,run_time,duration,width_median,width_plus,width_minus,width_global,amplitude_median,amplitude_plus,amplitude_minus,amplitude_global,phase_median,phase_plus,phase_minus,phase_global,spacing_median,spacing_plus,spacing_minus,spacing_global,fmin_median,fmin_plus,fmin_minus,fmin_global,fmax_median,fmax_plus,fmax_minus,fmax_global,duration_median
80.0,-3.0894497887150267,8.15902307797173,0.0,5.182344432048303,15082.85509,130517.61557111642,2.35070503699603e-05,9.823485993583774e-05,1.3649538858618978e-05,9.0001276917793e-06,188.08131175691653,286.4572442277365,139.44477186469132,759.2075844341803,0.503315672638154,0.34087491713737894,0.363035511966909,0.056915246211626566,0.001417833257623913,0.0005580063524508331,0.0005638678746408616,0.0015205907109104332,0.022679252089397958,0.021448006138934696,0.01625491529865298,0.015165542773023587,0.06257019968759499,0.015292861752517428,0.02144608559738164,0.04341643477117291,130517.61557111642
0.0,-2.6406429502777193,15.601781681791277,0.0,8.171750864688256,17122.369558,130517.61557111642,2.0027481403876902e-05,9.371560348755979e-05,9.891066201199657e-06,1.4066415145587173e-05,318.72027595748403,596.1994602000739,237.05187090841343,1222.3658908681275,0.3551235690532803,0.38806032142847174,0.22852475437229097,0.12888468178066562,0.0014356122010793933,0.0004597450792323185,0.00044222312339509346,0.0014356675557444035,0.015824273973983432,0.019508502077545387,0.0074020613200636975,0.014548660983919558,0.044399931257876495,0.029346357733563956,0.014737551756986506,0.029786501936120088,130517.61557111642
4.0,-2.5836648164181844,14.429957801918537,0.0,7.67571944009954,19013.902412,130517.61557111642,1.9155495191570927e-05,4.4624695860308826e-05,8.481093160417425e-06,1.7295207016853275e-05,430.0065204097618,442.3684919260634,350.67417569031073,734.595442479107,0.6888536368194275,0.043534606217914606,0.4340473260893566,0.2587754728433949,0.0016655657030816855,0.0002494773741890824,0.0006565647789529079,0.0019153240055005086,0.0382322833240298,0.018847265524831465,0.029765206355232818,0.0010041985874318022,0.0758071254886492,0.0076378544422551625,0.03128955605731813,0.04275719703643948,130517.61557111642
64.0,-2.959086534195716,12.505951386435378,0.0,7.764702881879287,19231.260716,130517.61557111642,2.5533502260209247e-05,5.8793378901282594e-05,1.4933386666498025e-05,1.7193664712209584e-05,245.32989431174497,318.792288708315,183.8719968789684,725.073410255388,0.601236299763195,0.2559078246135015,0.4134242502497703,0.85985839492655,0.0015519079539141815,0.0006737891603888139,0.0006436319300326603,0.0022307130580591526,0.020339502909050386,0.019410708778949147,0.013164388667205415,0.019703009673110318,0.06142011386673912,0.015093722653526404,0.02144356814700398,0.07032289789836417,130517.61557111642
20.0,-2.8433930253691937,12.86407725396526,0.0,8.804845667366065,19241.754074,130517.61557111642,2.3017494007956538e-05,0.0001080091367719395,1.244302209141927e-05,1.4854845280820652e-05,237.26401412107003,371.7807168381831,175.11644657819028,799.1852705253991,0.4159265410461911,0.37458891734517585,0.2518119110128467,0.1923582247049754,0.0013101433177335666,0.0006665731557520399,0.0006233863095988572,0.0006899750881445026,0.017921798288620505,0.026132935764677685,0.010444489772031027,0.002515743536782182,0.057999716637758755,0.01961665196455066,0.031731039345897605,0.021659757218699238,130517.61557111642
98.0,-2.9460283177304825,13.52663082272554,0.0,8.761863815988212,19355.65517,130517.61557111642,2.050965809516208e-05,5.379119246116925e-05,1.0517788503300096e-05,2.1749671502990282e-05,265.27050579808406,335.6490666346399,206.4140462923541,731.7072620900497,0.4434645342752314,0.37394611718068177,0.3462390352242622,0.32360188073698054,0.0013242843055096083,0.0006770641751449417,0.0004913636470014161,0.002185387719714451,0.02412303002607273,0.01798708072826021,0.016757707456509462,0.02921198823838615,0.060269912739428874,0.017871309277494626,0.01758878089029625,0.08122786592773275,130517.61557111642
88.0,-2.7328453071734784,13.349772973248593,0.0,8.183979109491357,19945.029215,130517.61557111642,3.1478411023869134e-05,5.126749579209331e-05,2.0453477743863488e-05,4.1963446244515465e-05,300.83234750680896,258.49784916996174,229.5780169948904,306.76164704587336,0.3613535949435246,0.43629955811983745,0.3349841093239364,0.02130484408056605,0.0013632823449191431,0.0005707516579306902,0.0004453801603515129,0.0013629782991914806,0.017817426047471628,0.022731782879275998,0.01229736178960266,3.250538602123384e-05,0.05641119315806155,0.020127469767327127,0.02214540710343233,0.08242934409684316,130517.61557111642
86.0,-2.56506538061093,12.65228077945724,0.0,8.204948733367173,20308.327881,130517.61557111642,2.827280893773139e-05,0.00010397288266709694,1.6508029721031556e-05,1.663468329427319e-05,277.29424195598403,308.37431378225585,199.33501082214275,516.3190881644103,0.4398602073541936,0.37264267034452914,0.23064312000942983,0.7511276991180994,0.0015154035401059149,0.0004631837530108304,0.0006883571334781613,0.0006091164616336718,0.023770505885368182,0.0236963878988657,0.015883181299481162,0.007167150371647973,0.06575915563990749,0.01378103098148356,0.02345038875954554,0.03896037910808274,130517.61557111642
22.0,-2.5669291396758402,14.26738801828148,0.0,8.067965953213902,20514.559249,130517.61557111642,5.191024686521941e-05,5.966218639461822e-05,3.878226488462225e-05,4.798349275091841e-05,269.63868985576283,194.4192912141816,171.2655283987188,536.2004789433439,0.4689187413319269,0.36898868039628396,0.24606629923791828,0.35632700568392617,0.001163699980231805,0.0006721224273949576,0.00027891836228866843,0.0010844621051393356,0.03319776051115719,0.02401013280107598,0.02729742100821553,0.06011331313660442,0.0688955972804954,0.010242325445881412,0.029155093818256463,0.07928206585548644,130517.61557111642
76.0,-2.727994432428583,13.432281986041428,0.0,7.696520519170075,20524.404415,130517.61557111642,3.0102031395185775e-05,0.00012548379834435486,1.953815152175206e-05,8.188124028351842e-06,230.18805797808784,279.5609998617515,164.16148763268285,1505.6935319337313,0.5743819254696048,0.258106896393384,0.3965305959578459,0.7087159872537272,0.0013837951354043478,0.0005655815166974516,0.0004966896319041214,0.0018932250840762088,0.017818402075891856,0.021051851628015008,0.013060514034815063,0.009838013612263576,0.05751039495028188,0.018166800644302768,0.023490759230882396,0.032336467315462115,130517.61557111642
94.0,-3.0133123849116865,12.280783974316764,0.0,7.4012936606534,20598.766119,130517.61557111642,2.7461593472402725e-05,0.00012377487050021854,1.674946171226169e-05,3.6061599745689634e-05,186.80055948551865,283.28876113872303,137.3320186453497,702.9970005729705,0.5154057650855223,0.3258181825133958,0.33711652141409454,0.972507465719929,0.0013864477175931772,0.0006364767859187443,0.0005470078832150371,0.0020389802765374086,0.024299891632462798,0.019684967065792393,0.017787394089373045,0.04124647012452845,0.06361562292308201,0.014528030417667648,0.019786747498878945,0.06448066256087459,130517.61557111642
