0.01,0.25507
0.0108447,0.24465
0.0117607,0.2363
0.0127541,0.23633
0.0138782,0.24136
0.0149997,0.24995
0.0162667,0.25526
0.0174628,0.24144
0.0188739,0.24316
0.0204681,0.25006
0.022197,0.25716
0.0237488,0.24324
0.0257548,0.25015
0.027836,0.26086
0.029883,0.24333
0.032189,0.25731
0.034439,0.26095
0.036722,0.25028
0.03929,0.27026
0.041472,0.24859
0.044072,0.26656
0.046678,0.27604
0.048445,0.24013
0.05028,0.27225
0.05236,0.30652
0.055644,0.23521
0.057168,0.25397
0.058536,0.32415
0.061997,0.34758
0.064127,0.26858
0.065,0.2288
0.066107,0.20324
0.067007,0.23858
0.068148,0.28203
0.069779,0.32879
0.073159,0.37538
0.077485,0.34528
0.080147,0.2668
0.082343,0.22729
0.084314,0.19498
0.08604,0.22731
0.088398,0.26315
0.09082,0.30677
0.093308,0.35515
0.098824,0.39708
0.106091,0.39163
0.112363,0.35278
0.117012,0.30904
0.121033,0.27072
0.126042,0.23715
0.130373,0.2092
0.137615,0.22432
0.142825,0.25789
0.147734,0.29648
0.153327,0.34086
0.160754,0.38645
0.169112,0.4351
0.180324,0.46982
0.184639,0.4865
0.197547,0.51088
0.213511,0.53649
0.231546,0.55172
0.250257,0.55954
0.27048,0.55571
0.294319,0.54809
0.31918,0.53309
0.34614,0.52945
0.37411,0.55213
0.39757,0.60455
0.41965,0.68066
0.43998,0.78801
0.45974,0.89342
0.48038,1.01291
0.50535,1.14841
0.54435,1.20597
0.57848,1.08634
0.60242,0.93847
0.62312,0.81072
0.64671,0.70036
0.67347,0.57622
0.69192,0.49432
0.69897,0.43
0.72299,0.37668
0.74532,0.32314
0.77354,0.28111
0.80012,0.24454
0.82482,0.21422
0.85029,0.18505
0.87654,0.15986
0.90361,0.139067
0.93151,0.120135
0.96027,0.102344
0.98658,0.088412
1.01361,0.075845
1.04138,0.065065
1.07353,0.056208
1.10294,0.048556
1.12934,0.041654
1.16028,0.035733
1.19207,0.030654
1.22473,0.026297
1.24981,0.022403
1.28406,0.019218
1.31924,0.016602
1.35538,0.0140451
1.39252,0.012218
1.43551,0.0104814
1.47484,0.0089916
1.51525,0.0077136
1.56732,0.0067102
1.60483,0.0057164
1.65438,0.0048699
1.69971,0.0042069
1.74039,0.003559
1.78807,0.0030319
1.82469,0.0026009
1.85577,0.0022312
1.89378,0.0018876
1.92604,0.0015968
1.95886,0.00136983
1.99223,0.00116695
