i,logB,maxloglikelihood,SNR_inj_signal,SNR_comb_global,run_time,duration,width_median,width_plus,width_minus,width_global,amplitude_median,amplitude_plus,amplitude_minus,amplitude_global,phase_median,phase_plus,phase_minus,phase_global,spacing_median,spacing_plus,spacing_minus,spacing_global,fmin_median,fmin_plus,fmin_minus,fmin_global,fmax_median,fmax_plus,fmax_minus,fmax_global,duration_median
8.0,-2.3211880556879922,13.729383807633406,12.826264477241528,8.269879653263045,20963.666401,87011.74371407759,6.32615132482622e-05,0.00015217714049551147,4.389605348311041e-05,0.00013525185241438276,203.28294167465194,208.6225900342267,129.94816021221345,206.30165301167986,0.4517922625262941,0.34538528663987833,0.3311627139116463,0.5206518875805776,0.0013669025741031929,0.0006372912793956955,0.00044643668501281896,0.0011286068042150915,0.01690161526834684,0.0223746585031237,0.009149630171803907,0.01140663865853562,0.06097325110820686,0.01464485690997825,0.022847455907191623,0.06012984590673331,87011.74371407759
6.0,-1.7024121582318992,17.32030636663839,16.769872077678748,10.207795187272406,23458.574799,87011.74371407759,4.5816520824566874e-05,0.00010042998171467731,2.560664595799597e-05,3.3602835082426326e-05,284.9270584365023,278.74623031067335,168.49611900926612,508.0974591638033,0.3706735859981887,0.4032274159224732,0.2328793301760205,0.14208486763264364,0.0014687265757264232,0.00011134813492822294,0.0005345071897036028,0.0014689707958418343,0.020439353853254443,0.01853435778065914,0.011087692848259738,0.016944920043681286,0.07279434747843008,0.007340797950639008,0.022650526948229888,0.07877663840132504,87011.74371407759
38.0,2.03594357373851,23.116674506322322,9.439402979672566,8.58534029951127,25425.119604,87011.74371407759,7.414965892268964e-05,1.2012061564548482e-05,8.456972446681612e-06,8.87926881400611e-05,459.5975699868722,85.93895867898897,80.17120018725598,468.2667013373015,0.16093540316283014,0.17078920090270314,0.10601383756997163,0.06565633335002681,0.0008618708078416476,1.1064699819690995e-06,1.7679913246349682e-06,0.0008627926904879249,0.06472944947889626,0.0021108504876562323,0.007557947405659737,0.06563291078505391,0.07766913443100565,0.0027887717074971535,0.0006402753023556501,0.07708651224414195,87011.74371407759
18.0,39.604645246608925,67.36156977600933,14.220761462478483,14.428080969598497,27091.99722,87011.74371407759,1.3705545581996773e-05,2.5667082687005185e-06,1.534694210929428e-06,1.289683623419623e-05,1431.025725405786,159.04095645888924,166.7137261118785,1509.1639381844898,0.8306514203878514,0.003766467905945703,0.0037215892162756337,0.8310440966406513,0.0011493071002610692,8.050805804632986e-08,8.118766331205625e-08,0.0011493033126861092,0.045279625247339014,0.0004999096930330751,0.000506192236420934,0.04464815295010295,0.07510277885562942,0.0004706214885438764,0.0004737976760366136,0.07466417718537419,87011.74371407759
2.0,43.5037543941439,71.74174374603939,15.238775024361253,15.603329833077547,28447.336335,87011.74371407759,1.2473267372101253e-05,1.3634496020107256e-06,7.190288746056173e-07,1.1730940801121269e-05,1391.1970746975726,142.2850055952781,148.5675682311762,1526.30546058126,0.8298128461595691,0.002744519019358682,0.0028059408486232895,0.828218751173616,0.0011493228525936597,6.175606458722407e-08,6.141527654187143e-08,0.0011493624129952401,0.040536675915631135,0.002392191117301469,0.008631733525974836,0.04106103041563942,0.07825068482747612,0.0012471821190032373,0.0033854159993251254,0.0790967920540951,87011.74371407759
4.0,37.41641655142091,64.02393738018685,17.004531973940278,15.791261603492378,28626.688799,87011.74371407759,1.2465172212378177e-05,1.4754316322285658e-06,7.177323888905858e-07,1.159550442982707e-05,1168.5002866268112,134.74648600097566,123.6744760074439,1155.301499854681,0.8312351305141902,0.0019114538074561649,0.0023547118854710947,0.8321433511688132,0.0011492787153615518,5.345890492086669e-08,4.562716879536258e-08,0.0011492561610734302,0.02308298977701834,0.01192606114387423,0.01189569804708072,0.010717304665079546,0.0793799693055805,0.001464015290507159,0.002412359399011632,0.0797994255136399,87011.74371407759
12.0,39.26958934375954,68.37262409088133,15.989063313197226,15.19092878728271,30041.374167,87011.74371407759,1.2755399161737222e-05,1.7500915973693567e-06,9.177260798725413e-07,1.1790804583395003e-05,1259.343129292269,116.44417017911337,126.76546475074383,1322.6448567654636,0.832442975891074,0.0022859070031194806,0.00236719746986247,0.8320099499895451,0.0011492223952807917,5.445976971186865e-08,5.3675044066727254e-08,0.0011492254784845877,0.031146685600072565,0.0005944731373347632,0.001126752637969436,0.031830166065354604,0.07703969372671933,0.0018479016278257626,0.0019534636596526683,0.07874565120081245,87011.74371407759
42.0,-1.7087550358182997,17.93052610258049,10.52643711356496,9.218527210764577,31185.329328,87011.74371407759,0.00027294993222703616,0.0002238663453819878,0.00023693519518907868,0.0003050174243373969,176.28031155483458,70.68613668560673,78.89668765890782,238.8833812281569,0.4390841865383764,0.5165159884919255,0.2964111470722447,0.31972715864990675,0.001067525828550292,0.0007840844371304,0.00012287527736261502,0.001008116681486434,0.05818606342041072,0.003743492457271687,0.029499444752668347,0.0614849739402202,0.07885225529125171,0.0018541908552521524,0.009507535722439647,0.07895908553552998,87011.74371407759
74.0,56.24903053926154,85.04362572976618,14.151633692491291,15.71657878207278,31187.014707,87011.74371407759,1.3512697270833083e-05,2.409956419708173e-06,1.4418876335758385e-06,1.2536782773591368e-05,1545.4835482334445,161.2348118067937,175.29817706828453,1666.0474001856398,0.8288677105261422,0.003710102105161761,0.0036968626347835265,0.8275111585363343,0.0011493199942217527,7.764276244832079e-08,7.878579355298336e-08,0.0011493533578315097,0.04622278887984201,0.0006072133801693774,0.0014980585279680894,0.04632493242180478,0.07639435627439195,0.0015246915394219462,0.000690257950162157,0.07564812434918239,87011.74371407759
72.0,11.270397626940339,37.25125066541215,14.983910285471616,11.990717696967758,31297.329281,87011.74371407759,1.3067045719233892e-05,2.5274179266600434e-06,1.154479648465988e-06,1.1503049297490669e-05,1084.7071177722712,154.72934672141173,155.58113736922382,1190.182320600004,0.8346883977844677,0.004936019132279701,0.003981142054540365,0.8325177811749271,0.0011492008034815777,9.149855481767853e-08,1.0918788790909711e-07,0.0011492472274974002,0.03938315635773955,0.006616261679838253,0.005063612285856028,0.03657079626562357,0.07440740327118806,0.0028997444094764346,0.0009494566404355392,0.07431499432385068,87011.74371407759
90.0,29.674959841132395,55.852775039826504,15.17119683840106,14.258522195074228,31485.115523,87011.74371407759,1.294053385414076e-05,2.2531330685283865e-06,1.0561130859328703e-06,1.1675769003887378e-05,1278.4818934065772,154.07587749192362,154.5463417560577,1396.8146808270815,0.8290655907618149,0.009203896435613146,0.004988860390501393,0.8251436040738633,0.001149316435321152,1.0918107045017333e-07,1.9378938864527372e-07,0.0011494000943464452,0.03872537488519332,0.008575442003688621,0.0014811651594176523,0.03828362341747438,0.07603095847750646,0.0014170833450931064,0.0015348866181712634,0.07659808038156869,87011.74371407759
16.0,62.45641232381285,91.12739581257287,16.46523083460882,16.84325455634381,32021.341331,87011.74371407759,1.3003229982997677e-05,1.974085832357469e-06,1.0839557978649788e-06,1.1958903299718702e-05,1302.6188007061405,126.29821627485649,132.2294331552837,1368.311842960457,0.8303234930046947,0.0015006747360005734,0.0015887111763820405,0.8304578253080703,0.0011493042623098907,3.7647111411588316e-08,3.656678491731e-08,0.001149300039669896,0.025267484144795974,0.0007306506970596524,0.008930962520359645,0.02590527112501633,0.07913561606456389,0.0012603494621666045,0.0020858083785111198,0.08023423256069177,87011.74371407759
70.0,46.192739663116136,74.61919596318877,14.396629250984132,15.389315831065094,32263.97029,87011.74371407759,1.4533894529667812e-05,3.22485978617993e-06,2.1019712419015308e-06,1.3399350953710946e-05,1331.5923900132464,170.60610177254694,171.7502099513249,1475.4162334667612,0.8293491134036244,0.002995752591890666,0.0026904572157095963,0.8309408285712766,0.0011493096080667413,6.37328418148092e-08,7.220253995404192e-08,0.00114927166554006,0.03970535162232216,0.0009460530867333658,0.000614796196647345,0.040039934992901226,0.07495992387174777,0.0040205663828402766,0.0023060033480184344,0.07240395699702312,87011.74371407759
