i,logB,maxloglikelihood,SNR_inj_signal,SNR_comb_global,run_time,duration,width_median,width_plus,width_minus,width_global,amplitude_median,amplitude_plus,amplitude_minus,amplitude_global,phase_median,phase_plus,phase_minus,phase_global,spacing_median,spacing_plus,spacing_minus,spacing_global,fmin_median,fmin_plus,fmin_minus,fmin_global,fmax_median,fmax_plus,fmax_minus,fmax_global,duration_median
0,-1.812376046386899,9.291410524079733,5.044867005494847,8.919856515419111,0:27:38.896868,8701.17437140776,0.00043915078699400606,0.0009310644543862215,0.00027116514823984463,0.0016169671928796443,100.38570991946293,64.56840247392421,64.59183679584187,150.77811752506062,0.4941670049031298,0.3451393579651526,0.3306609740880436,0.855911401038517,0.0011744138568422194,0.0006917173529764969,0.00040067663649627115,0.0008619056003481113,0.0399350211846035,0.026120925630155195,0.03184296154068009,0.0687762971760022,0.07699463235724584,0.0049947921495688136,0.03280847227772433,0.07739920069616925,8701.17437140776
26,-2.300660640988238,7.948082211720646,5.824447365423149,6.023545714764756,0:29:54.360650,8701.17437140776,0.0003437104642639054,0.0006992366605733295,0.0001911378336287774,0.00016175239877550633,70.36263287476862,72.4758205151237,46.116249817795165,254.223661320138,0.5274375538380518,0.3159092561158141,0.35841876223298663,0.21407568414648687,0.0013473889561864856,0.0006285470269391264,0.0005201202229867235,0.001141724336892553,0.020606352210842793,0.02610849629832807,0.014022110599587726,0.06402206849097407,0.06403781527211545,0.014507298135302077,0.023910359276217152,0.0777229540866549,8701.17437140776
20,-2.397940944415952,12.166323096193445,6.4574065849836835,7.6533305635909965,0:33:05.565610,8701.17437140776,0.00031976017696344855,0.0006503442829316747,0.00016013962456516795,0.00024348134980671464,70.80742602584458,96.0902119105255,48.79491216055402,247.43978930870728,0.4884514812460616,0.3287061404654546,0.31766362885687227,0.7175145663429698,0.0012497915656802144,0.0006830723327645751,0.00042644827306241866,0.0012050308595962496,0.03193501093216118,0.03226709772457849,0.024618411709654515,0.06627533592216171,0.07206448295112218,0.010321159125944598,0.029751721754367494,0.08263675741022258,8701.17437140776
18,-2.255610742370385,12.24803585819095,5.548488987685933,7.858329856374757,0:31:24.417110,8701.17437140776,0.00023659971860304392,0.0005964225117068365,8.954621271760484e-05,0.00015457821419920416,94.17261791098224,220.64833284563775,67.67134886898955,376.8873986627805,0.6420119236725155,0.21972591713627243,0.4455061523973862,0.6311808707159797,0.0011663375700683403,0.0007618901342542922,0.00023078722143739477,0.001134662976940727,0.035507941323711295,0.0324302529244241,0.025950814483349464,0.06905854017881788,0.0747890156174216,0.006458969593314934,0.027181218721368243,0.08063410152931502,8701.17437140776
50,-2.4386743224428438,8.748358698741654,7.721635110969228,8.709175543206593,0:32:08.195807,8701.17437140776,0.000324662112911089,0.000646372747053734,0.00017561587389228748,0.0001186480142895231,69.44878448762536,71.73151071551668,48.04659338160938,248.1680710191468,0.524052028581329,0.3457708351463592,0.36697170287808634,0.7976230112365115,0.0013903466470119763,0.0006464696148989614,0.0005117531617039352,0.0011505343493915469,0.024898865675873454,0.021733932005741453,0.017981044246010023,0.033734986087861296,0.06773331256447777,0.01245819410763506,0.0260832879827768,0.07921235672958464,8701.17437140776
40,-1.939263182038864,9.678259031273367,7.751668925541782,8.219997191802694,0:29:56.590138,8701.17437140776,0.0002910364228546388,0.0006344264584047193,0.00014057506938358166,0.00015093849112115455,95.75049283463541,100.096094026872,62.511853817416345,289.75676342079794,0.4671626571716196,0.36114427786078246,0.3063229980040132,0.2246468160657858,0.0014150150223717292,0.0005335437974346346,0.0005358412676542211,0.001964873862201179,0.025238445969102158,0.0323594720962988,0.015388429095145699,0.04740814942214113,0.07031461268630815,0.010626128297310841,0.026214136942891306,0.08396069219149518,8701.17437140776
36,-1.8625078890788926,10.05593628340549,7.795597512490333,9.42892721459359,0:31:24.924856,8701.17437140776,0.00037071344036342606,0.0007031014072756184,0.0002156536777925592,0.00020876867128613233,104.43402267989822,75.94820945934893,65.35973472741233,242.75355769849097,0.48609757489858985,0.3316636116165218,0.34806813085491706,0.8678191620883488,0.0013433604610909539,0.0006526060183669332,0.0004383348105530089,0.001628442913300219,0.035988997493766856,0.014625092086770757,0.02761826471653825,0.04144559219490668,0.06683542585462958,0.012853755434187306,0.016508173874668908,0.08178177147215915,8701.17437140776
42,-2.629910158692409,10.416059469443116,6.507067571143689,8.641739540623906,0:30:37.005818,8701.17437140776,0.0003478942460155046,0.0006379955270546994,0.00019092382178757152,0.0004681442995286366,62.50699064174748,90.44803552065733,44.240721972966824,191.4738217899615,0.4898333637451241,0.36281432445125095,0.3237405408017709,0.5543854293401574,0.0012544382397779133,0.0007027634582032565,0.00044011166402419097,0.0011913103684522831,0.03366050068888681,0.029191722681350278,0.024206499465789247,0.06630222412334265,0.07327941588486506,0.009139427460009439,0.029038607068755162,0.08426820207209806,8701.17437140776
10,-2.289182661811471,8.170407909925974,7.301588565996788,8.334867042255965,0:32:44.101291,8701.17437140776,0.0003467838333707205,0.0006304804641408498,0.00018780450776370054,0.00019929496052630027,75.55449564879679,68.46630189519128,49.50330381558648,230.39353022753383,0.5493873212428815,0.3274714879684085,0.3852247746175073,0.9437631256885652,0.0014676372562665266,0.0006595149401102313,0.0006188402350815123,0.002296079986931256,0.02337198967551892,0.021040068490707338,0.014429345433133418,0.023673695451304645,0.06702657051908069,0.011267415054703425,0.0223307345842592,0.07579652829105574,8701.17437140776
90,-2.581478089029828,8.101407808568405,5.771958853351547,5.783060003913756,0:28:25.690202,8701.17437140776,0.0003181038933583952,0.0006838468278120085,0.00016424587376036935,0.0001404146436483578,61.84535670715126,70.86800834577201,42.142620463995115,279.6060787464419,0.519294689143254,0.3385794585735,0.36275804312481863,0.7571340170950275,0.0013369584434527728,0.0006156589666806778,0.00048540755392162025,0.0011333861265756954,0.02822472956287328,0.022598452902501738,0.020836504273213638,0.06562520007189293,0.06778453288259197,0.013068789326997565,0.023369625306770676,0.07823327039020087,8701.17437140776
